Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Maude/flatPlan,2.7428706181037037,2.6255677500003003,2.846569437562266,0.1435837125161303,6.935498690917268e-2,0.17012717840701672
FMEP /flatPlan,9.999163029139406e-2,9.27072499980568e-2,0.10260280216668131,4.902123654188859e-3,3.3444217179595583e-4,6.030243140389906e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Maude/flatPlan,0.11979015541555782,0.11392365387064274,0.1251668662926022,6.29622658793164e-3,5.295097504476574e-3,6.818137563217718e-3
FMEP /flatPlan,1.793621644006134e-2,1.7543498445631786e-2,1.8381987367252738e-2,6.983170251488088e-4,5.040454984844007e-4,8.864647704342955e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Maude/flatPlan,8.589508337499414e-2,8.330026574998328e-2,8.839065625000112e-2,2.888390717629303e-3,2.422817308284591e-3,3.075893603547489e-3
Maude/shallowHierarchyPlan,7.683441243750148e-2,7.53161007499917e-2,7.932569556251678e-2,2.378099045552707e-3,3.3822708747071467e-4,3.0457995094456732e-3
FMEP /flatPlan,1.3398963696028932e-2,1.3339889431831257e-2,1.34681597624312e-2,1.0186580052361524e-4,7.996615574989307e-5,1.376633461778688e-4
FMEP /shallowHierarchyPlan,9.999109584595062e-3,9.900755403810814e-3,1.0104586505484191e-2,1.7678789283269704e-4,1.283585849234689e-4,2.168748732713878e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Maude/flatPlan,9.04713125000048e-2,8.952571875000595e-2,9.162331224998373e-2,1.298708933998611e-3,4.862614285631925e-4,1.6974937958602527e-3
Maude/shallowHierarchyPlan,7.573678554167884e-2,7.390463775003298e-2,7.756056500001307e-2,2.174049153772181e-3,8.809012499852997e-4,2.8143341092182615e-3
Maude/balancedPlan1,1.5552027763991092e-3,1.5386645326172464e-3,1.5705578404242432e-3,3.366368884987817e-5,2.8719998252467183e-5,3.832106797461992e-5
FMEP /flatPlan,1.3668277500178214e-2,1.3559180362348523e-2,1.3763276434132188e-2,1.7051349706419995e-4,1.3214689826027503e-4,2.290408316763747e-4
FMEP /shallowHierarchyPlan,1.0081960017893016e-2,1.0054998938527447e-2,1.0108190003787168e-2,4.637863890628858e-5,3.475923532469147e-5,6.49977634584668e-5
FMEP /balancedPlan1,1.4019894393945168e-3,1.3929847271396116e-3,1.4120653567598971e-3,2.114205604021905e-5,1.905873093190765e-5,2.458310797294227e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Maude/flatPlan,9.048471606251714e-2,8.744385937500945e-2,9.389482031253493e-2,4.082899462420755e-3,1.0581747903738638e-4,5.036497031107714e-3
Maude/shallowHierarchyPlan,7.721629577081757e-2,7.558884204165395e-2,8.01561452499584e-2,2.8626769801864353e-3,3.2501929167949584e-4,3.58229575186086e-3
Maude/balancedPlan1,1.5431748858359554e-3,1.5294801971640422e-3,1.5550443404296873e-3,2.893723656431182e-5,2.416005007993719e-5,3.6522318595097326e-5
FMEP /flatPlan,1.3638738612584154e-2,1.3577016778364976e-2,1.3701946902119955e-2,9.701109923529545e-5,6.425825790217758e-5,1.4944027719881865e-4
FMEP /shallowHierarchyPlan,1.0064041876121175e-2,9.916463549414499e-3,1.0421375102256606e-2,3.929578217749995e-4,1.393612447653246e-4,6.365043455350125e-4
FMEP /balancedPlan1,1.4182891584166013e-3,1.4103132252859963e-3,1.4266241289847634e-3,1.685901944721844e-5,1.3088241268513249e-5,2.2132844915439802e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Maude/flatPlan,8.80742796250189e-2,8.748517187500227e-2,8.872896875001857e-2,7.207477157338743e-4,3.087295000341328e-4,1.0039959523122314e-3
Maude/shallowHierarchyPlan,7.655573097916601e-2,7.459181583334384e-2,7.959992756248369e-2,2.895163748496965e-3,5.046482063744114e-4,3.7674595368763983e-3
Maude/balancedPlan1,1.5493827578670029e-3,1.5441109667404173e-3,1.5622687293840797e-3,1.726180867578664e-5,7.2910936568066754e-6,2.9546308386695156e-5
FMEP /flatPlan,1.3501371569305778e-2,1.3401255471604813e-2,1.3592553861673688e-2,1.607268587847937e-4,1.154339841676471e-4,2.1201967510051364e-4
FMEP /shallowHierarchyPlan,1.00280188313228e-2,9.947203760013209e-3,1.0096996307788882e-2,1.3258756858485063e-4,1.0328296488399222e-4,1.743528072647763e-4
FMEP /balancedPlan1,1.3952156081588115e-3,1.3866372300024394e-3,1.4067384377856645e-3,2.1113473906019763e-5,1.5205085876311254e-5,2.5934784809670955e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Maude/flatPlan,8.984280647916403e-2,8.851979150000489e-2,9.088171631249509e-2,1.3451997821328473e-3,9.10975721865165e-4,1.6260049865054684e-3
Maude/shallowHierarchyPlan,7.744696975001375e-2,7.599051287499492e-2,7.988348487504027e-2,2.309698838271032e-3,1.3211881488351795e-4,2.8795047340790677e-3
Maude/balancedPlan1,1.5689212321024105e-3,1.5598872665366858e-3,1.5762143626249403e-3,1.6677801188142857e-5,1.19841520162013e-5,2.49457629543569e-5
Maude/linearHierarchyPlan,4.84185559333298e-2,4.742053169999849e-2,4.912852506665786e-2,9.620817067150786e-4,7.428550144390926e-4,1.0667466438764326e-3
FMEP /flatPlan,1.4045819753393255e-2,1.3903218506167749e-2,1.4359618089503636e-2,3.283774406157299e-4,1.4009259827597618e-4,5.220841885242236e-4
FMEP /shallowHierarchyPlan,1.0065164172338999e-2,1.002560738315199e-2,1.0110603996019341e-2,7.289611925639855e-5,5.6991384816195656e-5,9.072891823945171e-5
FMEP /balancedPlan1,1.4204548154870844e-3,1.4058128234913777e-3,1.4341108854876426e-3,2.9299363879444424e-5,2.5152241272945652e-5,3.446969494627827e-5
FMEP /linearHierarchyPlan,9.365485408335417e-2,9.255630200003395e-2,9.456397916667925e-2,1.2165067390609797e-3,4.3746291775589733e-4,1.644125172815867e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Maude/flatPlan,8.816537149999941e-2,8.626041837499325e-2,8.998271875000796e-2,2.1196450250744164e-3,1.808790719725084e-3,2.3850700464269586e-3
Maude/shallowHierarchyPlan,7.593014837500078e-2,7.504525237499848e-2,7.669087499999705e-2,9.573956664523069e-4,4.391822499911767e-4,1.2496989063738165e-3
Maude/balancedPlan1,1.5367945778554085e-3,1.5301091681852467e-3,1.5474324932952081e-3,1.7665772169849364e-5,1.1793012017472335e-5,2.844148703577252e-5
Maude/linearHierarchyPlan,4.7175997893334626e-2,4.659476653332604e-2,4.784467301334189e-2,8.317361320656201e-4,5.85963566341765e-4,1.0994389983728732e-3
Maude/gridHierarchyPlan,5.365662409127682e-3,5.314660966801694e-3,5.427269775464576e-3,1.1263637463479905e-4,7.823369010258976e-5,1.427854298360813e-4
FMEP /flatPlan,1.3788903662125127e-2,1.3658672511420028e-2,1.3952585582891783e-2,2.3850498653130625e-4,1.6444653815265062e-4,3.123929767483972e-4
FMEP /shallowHierarchyPlan,9.913295046564498e-3,9.831097593231858e-3,1.0030394619696079e-2,1.7395409401965782e-4,1.2559472836610406e-4,2.3614080326803103e-4
FMEP /balancedPlan1,1.4085106246129876e-3,1.396822178369736e-3,1.4254603812324717e-3,3.095604791142089e-5,2.4362186313182796e-5,3.99845464348363e-5
FMEP /linearHierarchyPlan,9.317505037501424e-2,9.213455874999946e-2,9.48025630000302e-2,1.6245925044880468e-3,6.444617500183866e-4,2.251369869180495e-3
FMEP /gridHierarchyPlan,3.5516303236841815e-3,3.520413483197086e-3,3.590492095575299e-3,6.950166737041658e-5,4.7674954396279805e-5,8.164800126364522e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Maude/flatPlan,8.862158954164556e-2,8.761892474994681e-2,9.042140374999974e-2,1.7454814199087177e-3,1.3800524999396657e-4,2.157349340105107e-3
Maude/shallowHierarchyPlan,7.611526745833667e-2,7.471834033333617e-2,7.765357312500498e-2,1.6432295324957506e-3,7.952082500111146e-4,2.3078376122178633e-3
Maude/balancedPlan1,1.5656072005223688e-3,1.5510877869568864e-3,1.5809776627350967e-3,3.0759278683994536e-5,2.2838414773680443e-5,4.518741232544694e-5
Maude/linearHierarchyPlan,4.790858611665916e-2,4.76379433666428e-2,4.841293818334217e-2,4.6965771923205386e-4,1.6616907365925152e-4,6.520805472066232e-4
Maude/gridHierarchyPlan,5.375099063552097e-3,5.320689832143811e-3,5.4354269982597354e-3,1.079248085504798e-4,8.59611280681132e-5,1.3624723091978073e-4
FMEP /flatPlan,1.3804946676774711e-2,1.3683601848737686e-2,1.3917634848671931e-2,1.7890391234838077e-4,1.2679284106644604e-4,2.3510009562593422e-4
FMEP /shallowHierarchyPlan,1.0045417944456889e-2,9.962264584442675e-3,1.0122755939394691e-2,1.3911755647523323e-4,1.0577208088719518e-4,1.9266557117142638e-4
FMEP /balancedPlan1,1.4257856623787458e-3,1.4204406959030676e-3,1.4324058502388527e-3,1.2880711866089844e-5,1.0010559353856813e-5,1.5059444873182598e-5
FMEP /linearHierarchyPlan,9.379663802083134e-2,9.348129687498385e-2,9.414500781250723e-2,4.1045248288430075e-4,2.0700412783108762e-5,5.109249179242963e-4
FMEP /gridHierarchyPlan,3.5510690676410803e-3,3.539601935514065e-3,3.560089388484707e-3,2.1372779776169712e-5,1.5977254166900572e-5,2.712389043477202e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Maude/flatPlan,8.885213968749639e-2,8.7508804687495e-2,8.98034512499919e-2,1.3915206093485736e-3,7.895993610531334e-4,1.9510569408453143e-3
Maude/shallowHierarchyPlan,7.761445075000968e-2,7.555988274999e-2,7.963906300003032e-2,2.4316840256800257e-3,1.6069845254762535e-3,2.84426240760363e-3
Maude/balancedPlan1,1.5535062034597662e-3,1.5420737346714278e-3,1.5658705851577673e-3,2.620579850178643e-5,2.0778877225861785e-5,3.401053535328527e-5
Maude/linearHierarchyPlan,4.764365671667709e-2,4.700630423334738e-2,4.8378720050005763e-2,9.059086850733812e-4,6.564877965063621e-4,1.1294449927569054e-3
Maude/gridHierarchyPlan,5.399893781221207e-3,5.350715940035532e-3,5.4459402669290065e-3,9.211585696409952e-5,6.464903823230805e-5,1.2623349394910743e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Maude/flatPlan,8.899658502081564e-2,8.846053137499155e-2,8.986541649997548e-2,8.326165422738893e-4,1.490103750114713e-4,1.0892713568716255e-3
Maude/shallowHierarchyPlan,7.657348183334278e-2,7.480317191668462e-2,7.834379175000095e-2,2.1819980269913767e-3,1.0578018220294798e-3,2.680270393768026e-3
Maude/balancedPlan1,1.5469055183839383e-3,1.5349742192432253e-3,1.5597544059725845e-3,2.6975578491141354e-5,2.3196586814102433e-5,3.0670735642368184e-5
Maude/linearHierarchyPlan,4.7967102319446696e-2,4.713040354166462e-2,4.8565582277790204e-2,9.850932491217786e-4,6.09424705991682e-4,1.3423410539161673e-3
Maude/gridHierarchyPlan,5.397938630377761e-3,5.353077360334954e-3,5.4436864408567475e-3,8.726894732531962e-5,7.091666021273645e-5,1.0627028716981692e-4
Maude/balancedPlan,0.10292480810416531,0.10089935058330943,0.10615875781252981,3.0609445576953655e-3,9.86750307251749e-5,3.7835809847025096e-3
FMEP /flatPlan,1.3871402293502266e-2,1.3600655382363576e-2,1.4842672516933617e-2,7.457864445552045e-4,9.287431819846482e-5,1.1943183095670267e-3
FMEP /shallowHierarchyPlan,1.0135835250095138e-2,1.0054252815544616e-2,1.0212717312878495e-2,1.385751483788574e-4,1.0653984307284494e-4,1.9212130030612278e-4
FMEP /balancedPlan1,1.405832204321855e-3,1.3952521214040162e-3,1.4182717777283624e-3,2.5555663545892672e-5,2.109263107448618e-5,2.838692493657572e-5
FMEP /linearHierarchyPlan,9.425166331251471e-2,9.35687811874999e-2,9.471747250002713e-2,6.957429123994665e-4,3.608151034330405e-4,9.743991011659376e-4
FMEP /gridHierarchyPlan,3.5522656329688685e-3,3.5226356526172203e-3,3.579449897129125e-3,5.950956425527663e-5,4.460849876747051e-5,7.79619445573115e-5
FMEP /balancedPlan,1.3919752706486328e-2,1.3758075836408859e-2,1.403016259589767e-2,2.0843778550473776e-4,1.4975054389847195e-4,2.7497478546761655e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Maude/flatPlan,8.913983862502306e-2,8.844453125000484e-2,9.000912525004878e-2,9.792821464873927e-4,3.2439868254337994e-5,1.2152383122152352e-3
Maude/shallowHierarchyPlan,7.765454945833501e-2,7.612445316667996e-2,7.959433074995559e-2,2.1436922846369503e-3,6.068592500128034e-4,2.8328653207821577e-3
Maude/hierarchyPlan,6.66622069490673e-5,6.60951425566136e-5,6.703800725619614e-5,1.0259436548580498e-6,7.245241753620805e-7,1.610550130156943e-6
Maude/balancedPlan1,1.54823127500498e-3,1.541467903606204e-3,1.5532917446367599e-3,1.2667904058224281e-5,9.0232905462577e-6,1.7631902372421713e-5
Maude/linearHierarchyPlan,4.866097394999353e-2,4.804655395000547e-2,4.911168879999271e-2,6.729127116547464e-4,3.6350082093160275e-4,8.577609111542621e-4
Maude/gridHierarchyPlan,5.3262487052197684e-3,5.282570367303099e-3,5.364963853528851e-3,8.500550143929502e-5,7.23101271483968e-5,1.0505941124458293e-4
Maude/balancedPlan,0.10118559650002605,0.10003943750000607,0.10324773225006822,2.019595572035944e-3,5.386793481649329e-5,2.5930728939661004e-3
FMEP /flatPlan,1.3736705123863067e-2,1.3560028213773374e-2,1.3867114271129244e-2,2.534891956047775e-4,1.7743773769499232e-4,3.0072704850071216e-4
FMEP /shallowHierarchyPlan,1.0074960992816339e-2,1.0011705789105685e-2,1.015133733795811e-2,1.2018427507185595e-4,8.422978152077172e-5,1.6536538930114243e-4
FMEP /hierarchyPlan,1.334713106785383e-4,1.3272442333365445e-4,1.3423349072382346e-4,1.6524723931448303e-6,1.3658924142920738e-6,2.0345599554546543e-6
FMEP /balancedPlan1,1.4100968682482073e-3,1.4008484399032628e-3,1.4198666417966042e-3,2.0089628112308137e-5,1.633437131945139e-5,2.7785828691083005e-5
FMEP /linearHierarchyPlan,9.371002237502542e-2,9.301913525001737e-2,9.488620812501836e-2,1.124571801255656e-3,1.7373950004184735e-4,1.4372733693046264e-3
FMEP /gridHierarchyPlan,3.562360647558596e-3,3.552608453874435e-3,3.57207631353882e-3,1.9760340152623744e-5,1.580704646814901e-5,2.6536874698218988e-5
FMEP /balancedPlan,1.385461152483413e-2,1.3791921165406713e-2,1.3895139092599281e-2,8.460283941747601e-5,2.8649840283562027e-5,1.1670256484830175e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Maude/flatPlan,8.716185835424994e-2,8.60818200627591e-2,8.791190958334028e-2,1.0973818948321204e-3,4.956319165785317e-4,1.5332740171102618e-3
Maude/shallowHierarchyPlan,7.352859645834542e-2,7.346250262514786e-2,7.356970858324985e-2,6.449141364571474e-5,2.4171999939426314e-5,8.560420537517046e-5
Maude/hierarchyPlan,6.443873818820823e-5,6.3909892861635e-5,6.491541727159588e-5,1.0774385874739594e-6,8.680953459188418e-7,1.2724833235287619e-6
Maude/balancedPlan1,1.5328844849647005e-3,1.5266056443560111e-3,1.5392127363870257e-3,1.370662120723161e-5,1.2229292354065159e-5,1.5762778998518587e-5
Maude/linearHierarchyPlan,4.653348210836536e-2,4.605578591677942e-2,4.6881127333348455e-2,5.502631240629539e-4,3.313484754445965e-4,8.189313493429764e-4
Maude/gridHierarchyPlan,5.320792211316086e-3,5.2780303027317775e-3,5.35772458136586e-3,7.536339596898867e-5,5.843496931951134e-5,1.0255272288413192e-4
Maude/balancedPlan,0.10052583706251994,9.979012512496865e-2,0.10107952137502707,7.387134279738455e-4,3.176628812750086e-4,9.925776960844279e-4
FMEP /flatPlan,1.354258445054425e-2,1.3480593461227186e-2,1.3616040795838733e-2,1.096914432529435e-4,6.620763445569248e-5,1.531252487650222e-4
FMEP /shallowHierarchyPlan,9.821016346073585e-3,9.738629914913427e-3,9.94218980422774e-3,1.767786158855736e-4,7.735784679631666e-5,2.4274985085780932e-4
FMEP /hierarchyPlan,1.3107907387396238e-4,1.2975148158875908e-4,1.3233438825370667e-4,2.7336364834991263e-6,2.360983499555568e-6,3.458062636034068e-6
FMEP /balancedPlan1,1.3783231432424317e-3,1.3701850488713112e-3,1.3860959759773375e-3,1.7565862337391546e-5,1.1608138612313406e-5,2.722689885646724e-5
FMEP /linearHierarchyPlan,9.228073435418575e-2,9.12649167291401e-2,9.323676550013715e-2,1.1385497107996331e-3,9.684105738471374e-4,1.2054832576622592e-3
FMEP /gridHierarchyPlan,3.4945491952211648e-3,3.4582905329903256e-3,3.528464308716186e-3,7.141116990695061e-5,4.946564427833599e-5,1.1114047932802662e-4
FMEP /balancedPlan,1.3440828938812516e-2,1.325468596895246e-2,1.3921394526467422e-2,4.8002913219907155e-4,1.1615346133745242e-4,7.744178199579958e-4
